city,date,pm25,pm10,no2,so2,aqi
Delhi,01-01-2020,457.8,316.1,88.3,35.3,311.3
Mumbai,01-01-2020,224.2,23.4,3.6,73.8,307.4
Chennai,01-01-2020,498.4,106.8,34.3,12.2,352.1
Kolkata,01-01-2020,327.3,144,33.3,68.4,359.3
Bangalore,01-01-2020,408.3,48.8,24.1,78.4,412.8
Delhi,02-01-2020,171.9,110.6,87.6,4.5,418.2
Mumbai,02-01-2020,274.3,23,9.2,68.5,388.2
Chennai,02-01-2020,143.4,532.7,61.8,37.2,295.4
Kolkata,02-01-2020,322.5,449,84.1,61.9,421.2
Bangalore,02-01-2020,270.4,80.1,138.6,94.9,428.4
Delhi,03-01-2020,54.5,342.8,86.6,89.2,381.8
Mumbai,03-01-2020,386.5,431.4,88.6,98.5,301
Chennai,03-01-2020,103,98,103.7,87.9,399.9
Kolkata,03-01-2020,52.9,262.4,43.6,4.5,471.3
Bangalore,03-01-2020,174.5,25.7,102.9,93,223.8
Delhi,04-01-2020,360.7,467.9,92.5,62.8,89.6
Mumbai,04-01-2020,378.2,56,69,57.1,435.6
Chennai,04-01-2020,302.4,390.8,98.9,95.9,380.5
Kolkata,04-01-2020,183.1,457.9,139.1,94,288.6
Bangalore,04-01-2020,172.6,536.3,112.9,58.3,114.4
Delhi,05-01-2020,299.4,90.7,111.4,6.9,232.2
Mumbai,05-01-2020,63.9,459.7,110.5,5.3,311
Chennai,05-01-2020,384.5,348.8,38.2,22.8,368.5
Kolkata,05-01-2020,15.7,180.4,134.7,29,128.2
Bangalore,05-01-2020,134.8,84.2,135.8,14.2,91.4
Delhi,06-01-2020,285.6,166.9,149.3,34.8,117.5
Mumbai,06-01-2020,390.8,23.8,35.6,31.6,479.1
Chennai,06-01-2020,338.3,300.2,21.8,91.8,402.5
Kolkata,06-01-2020,471.7,457.9,79.7,3.2,206.6
Bangalore,06-01-2020,116.4,292.1,141.5,64.9,413.1
Delhi,07-01-2020,134.1,397.9,35.6,58.6,251.6
Mumbai,07-01-2020,302,185.2,67.6,63,490.5
Chennai,07-01-2020,421.1,310.3,32.1,14.6,276.6
Kolkata,07-01-2020,351.1,206.7,8.9,77.9,109.3
Bangalore,07-01-2020,91.9,203.4,12.5,10.5,160.9
Delhi,08-01-2020,490.5,43.3,9.9,88.1,267.4
Mumbai,08-01-2020,187.9,220.3,5.8,97,405.6
Chennai,08-01-2020,473.5,504.9,113.1,95.9,165.6
Kolkata,08-01-2020,146.2,311.7,107.8,16,253.1
Bangalore,08-01-2020,97.8,44.3,21.9,91.5,181.2
Delhi,09-01-2020,99.3,75.8,86.2,1,159.7
Mumbai,09-01-2020,362.5,407.6,136.6,7.9,54.8
Chennai,09-01-2020,22.4,344.3,73.4,89.9,64.5
Kolkata,09-01-2020,250.3,94.2,83.5,97.8,102
Bangalore,09-01-2020,301,126.6,128.5,11.8,1.3
Delhi,10-01-2020,169.3,141.1,63,15.3,252.9
Mumbai,10-01-2020,482.9,390.1,28.8,68.2,322.9
Chennai,10-01-2020,308.2,547.1,106.2,13.2,304.5
Kolkata,10-01-2020,30.6,445.4,10.6,16.7,246.3
Bangalore,10-01-2020,255.6,538.7,55.6,56,9.8
Delhi,11-01-2020,212.1,505.5,62.4,18.6,447
Mumbai,11-01-2020,34.3,50.5,125.9,80.8,234.3
Chennai,11-01-2020,17.2,139,41.5,93.9,305.1
Kolkata,11-01-2020,311.6,389.8,141.8,98.6,425.5
Bangalore,11-01-2020,421.2,532,96.3,37.9,362.8
Delhi,12-01-2020,170.6,463.1,86.4,5.3,73.5
Mumbai,12-01-2020,122.1,36.4,44.4,7.4,77.4
Chennai,12-01-2020,394,341.4,67.8,7.6,80.6
Kolkata,12-01-2020,46.4,353,89.3,72.4,94.5
Bangalore,12-01-2020,259.2,460.5,24.6,52.3,374.3
Delhi,13-01-2020,418.7,504.4,113.3,25.9,246
Mumbai,13-01-2020,76.1,152.3,17.1,42.6,455.2
Chennai,13-01-2020,481.2,264.4,130.4,59.9,337.6
Kolkata,13-01-2020,143.5,450.4,87.8,90.3,287.4
Bangalore,13-01-2020,24.2,403.6,129.1,10.9,130.8
Delhi,14-01-2020,185.1,38.3,142.4,18.2,234.9
Mumbai,14-01-2020,463.7,320.4,96.7,15.2,131.3
Chennai,14-01-2020,64.5,57.2,53.9,67.1,318.9
Kolkata,14-01-2020,458.1,93.9,128.5,4.6,308.2
Bangalore,14-01-2020,164,571.7,40.1,89.8,106.9
Delhi,15-01-2020,299.4,143.8,108.6,47.8,447.4
Mumbai,15-01-2020,265.9,298.9,144.5,35.7,442.5
Chennai,15-01-2020,365.9,228.6,139.3,11,280.6
Kolkata,15-01-2020,444.2,290.5,40.1,74.2,49.7
Bangalore,15-01-2020,160.1,174.5,141.6,34.8,376.3
Delhi,16-01-2020,282.9,337.1,81.2,65.5,169.8
Mumbai,16-01-2020,97.1,516.1,53.4,77,459.4
Chennai,16-01-2020,255.4,291,52.2,28.5,263.4
Kolkata,16-01-2020,484.9,53.5,47.9,47.3,368
Bangalore,16-01-2020,449.6,297.8,142.2,10.3,331.2
Delhi,17-01-2020,480,247.8,139.5,50.2,211.4
Mumbai,17-01-2020,249.4,103.6,19,70.8,424.3
Chennai,17-01-2020,196.6,165.7,129,41.1,396.2
Kolkata,17-01-2020,93.2,160.4,96.6,1.3,357.8
Bangalore,17-01-2020,285.8,575.5,32.1,65.3,197.8
Delhi,18-01-2020,263.3,391.3,142.9,30.2,312.6
Mumbai,18-01-2020,257.9,426,19.8,10.4,122.9
Chennai,18-01-2020,399.2,338.2,111.2,65.7,53.2
Kolkata,18-01-2020,487.9,485.6,13.6,60.6,110
Bangalore,18-01-2020,145.1,179.1,94.3,17.1,402.8
Delhi,19-01-2020,285.7,308.5,111.5,48.9,366.6
Mumbai,19-01-2020,443.6,147.1,104.5,14.7,65.3
Chennai,19-01-2020,325.3,343.8,94.2,49.2,129.5
Kolkata,19-01-2020,308.4,389.6,52.7,33.3,308.6
Bangalore,19-01-2020,166,63.6,123.9,3,32.7
Delhi,20-01-2020,469.2,216.3,1.7,59.7,439.4
Mumbai,20-01-2020,363.1,96.1,54.2,32.8,478.8
Chennai,20-01-2020,153.2,314.6,93,32.4,488.8
Kolkata,20-01-2020,234.9,237.5,6,35,291.1
Bangalore,20-01-2020,450.7,224.8,56.4,15.8,486.2
Delhi,21-01-2020,390.7,210.1,118.3,56.3,63.6
Mumbai,21-01-2020,278.7,541.7,11.5,60.7,3.6
Chennai,21-01-2020,470.2,150.7,141.8,62.2,147.2
Kolkata,21-01-2020,260,102.5,120.6,6.5,219.6
Bangalore,21-01-2020,237.8,588.9,135.4,63.4,386
Delhi,22-01-2020,74,411.2,142.2,75.7,63.3
Mumbai,22-01-2020,28.3,434.9,20.5,52,76.9
Chennai,22-01-2020,10.2,177.5,44.3,55.6,312.4
Kolkata,22-01-2020,6.8,50,17.3,57,496.6
Bangalore,22-01-2020,82.7,401.6,149.9,14.1,10.4
Delhi,23-01-2020,401.9,318.7,63,93.3,189.6
Mumbai,23-01-2020,46.7,512.5,13.3,59.2,403.9
Chennai,23-01-2020,274.8,592.1,38,3.6,440
Kolkata,23-01-2020,141.4,541.1,31.2,82.5,408.4
Bangalore,23-01-2020,239.6,537.8,52.6,77.6,489.8
Delhi,24-01-2020,339.2,305.6,19.1,51.3,43.9
Mumbai,24-01-2020,370.9,599.6,125.6,64.9,155.6
Chennai,24-01-2020,198.8,436.8,21.6,58.9,357.4
Kolkata,24-01-2020,83.4,457.4,121.1,29.1,50.5
Bangalore,24-01-2020,492.6,270.3,31.6,40.5,303.3
Delhi,25-01-2020,192,321.9,18.2,77.4,377
Mumbai,25-01-2020,376.1,161,91.9,28.9,445.5
Chennai,25-01-2020,372.6,408.3,108,58.4,430.6
Kolkata,25-01-2020,386.5,91.6,21.5,85.6,177.2
Bangalore,25-01-2020,462.9,339.5,77.2,51.7,447.7
Delhi,26-01-2020,463.6,484.1,19.9,59.5,307.7
Mumbai,26-01-2020,434,33.8,101.4,68.6,164.8
Chennai,26-01-2020,460.2,291.8,135.5,56.9,225.5
Kolkata,26-01-2020,81.8,408.7,23.7,62.1,155.6
Bangalore,26-01-2020,483.3,513,123.9,42.1,244.8
Delhi,27-01-2020,398.9,512.1,20,88.5,293.4
Mumbai,27-01-2020,229.1,78.4,18.6,72.3,219.5
Chennai,27-01-2020,295.1,323.5,111.9,44.4,376.5
Kolkata,27-01-2020,396.1,207.5,60.3,17.7,74.1
